Size;CPU cores;Memory;NICs (Max);Max. Temp disk size in GB;Max. data disks;Max. IOPS;Max. Throughput;Cache size (GB);CPU speed;Number of cores;Memory Size;Temp Disk Size;full text;StorageTier;
Basic_A0;1;0.768;1;20;1;300;0;0;2.397;1;1;1.999.804.306;CPU speed:2.397 Number of cores:1 Memory Size:1 Temp Disk Size:19.9980430603027;Basic;
Basic_A1;1;1.75;1;40;2;600;0;0;2.397;1;2;3.999.804.306;CPU speed:2.397 Number of cores:1 Memory Size:2 Temp Disk Size:39.9980430603027;Basic;
Basic_A2;2;3.5;1;60;4;1200;0;0;2.397;2;3;5.999.804.306;CPU speed:2.397 Number of cores:2 Memory Size:3 Temp Disk Size:59.9980430603027;Basic;
Basic_A3;4;7;2;120;8;2400;0;0;2.397;4;7;1.199.980.431;CPU speed:2.397 Number of cores:4 Memory Size:7 Temp Disk Size:119.998043060303;Basic;
Basic_A4;8;14;4;240;16;4800;0;0;2.397;8;14;2.399.980.431;CPU speed:2.397 Number of cores:8 Memory Size:14 Temp Disk Size:239.998043060303;Basic;
Standard_A0;1;0.768;1;20;1;500;0;0;2.397;1;1;1.999.804.306;CPU speed:2.397 Number of cores:1 Memory Size:1 Temp Disk Size:19.9980430603027;Standard;
Standard_A1;1;0.70;1;70;2;1000;0;0;2.397;1;2;6.999.804.306;CPU speed:2.397 Number of cores:1 Memory Size:2 Temp Disk Size:69.9980430603027;Standard;
Standard_A2;2;3.5;1;135;4;2000;0;0;2.397;2;3;1.349.980.431;CPU speed:2.397 Number of cores:2 Memory Size:3 Temp Disk Size:134.998043060303;Standard;
Standard_A3;4;7;2;285;8;4000;0;0;2.397;4;7;2.849.980.431;CPU speed:2.397 Number of cores:4 Memory Size:7 Temp Disk Size:284.998043060303;Standard;
Standard_A4;8;14;4;605;16;8000;0;0;2.397;8;14;6.049.980.431;CPU speed:2.397 Number of cores:8 Memory Size:14 Temp Disk Size:604.998043060303;Standard;
Standard_A5;2;14;1;135;4;2000;0;0;2.397;2;14;1.349.980.431;CPU speed:2.397 Number of cores:2 Memory Size:14 Temp Disk Size:134.998043060303;Standard;
Standard_A6;4;28;2;285;8;4000;0;0;2.397;4;28;2.849.980.431;CPU speed:2.397 Number of cores:4 Memory Size:28 Temp Disk Size:284.998043060303;Standard;
Standard_A7;8;56;4;605;16;8000;0;0;2.397;8;56;6.049.980.431;CPU speed:2.397 Number of cores:8 Memory Size:56 Temp Disk Size:604.998043060303;Standard;
Standard_A8;8;56;2;382;16;8000;0;0;2.594;8;56;3.826.425.743;CPU speed:2.594 Number of cores:8 Memory Size:56 Temp Disk Size:382.642574310303;Standard;
Standard_A9;16;112;4;382;16;8000;0;0;2.594;16;112;3.826.425.743;CPU speed:2.594 Number of cores:16 Memory Size:112 Temp Disk Size:382.642574310303;Standard;
Standard_A10;8;56;2;382;16;8000;0;0;2.594;8;56;3.826.425.743;CPU speed:2.594 Number of cores:8 Memory Size:56 Temp Disk Size:382.642574310303;Standard;
Standard_A11;16;112;4;382;16;8000;0;0;2.594;16;112;3.826.425.743;CPU speed:2.594 Number of cores:16 Memory Size:112 Temp Disk Size:382.642574310303;Standard;
Standard_D1;1;3.5;1;50;2;1000;0;0;2.195;1;3;4.999.804.306;CPU speed:2.195 Number of cores:1 Memory Size:3 Temp Disk Size:49.9980430603027;Standard;
Standard_D2;2;7;2;100;4;2000;0;0;2.195;2;7;9.999.804.306;CPU speed:2.195 Number of cores:2 Memory Size:7 Temp Disk Size:99.9980430603027;Standard;
Standard_D3;4;14;4;200;8;4000;0;0;2.195;4;14;1.999.980.431;CPU speed:2.195 Number of cores:4 Memory Size:14 Temp Disk Size:199.998043060303;Standard;
Standard_D4;8;28;8;400;16;8000;0;0;2.195;8;28;3.999.980.431;CPU speed:2.195 Number of cores:8 Memory Size:28 Temp Disk Size:399.998043060303;Standard;
Standard_D11;2;14;2;100;4;2000;0;0;2.195;2;14;9.999.804.306;CPU speed:2.195 Number of cores:2 Memory Size:14 Temp Disk Size:99.9980430603027;Standard;
Standard_D12;4;28;4;200;8;4000;0;0;2.195;4;28;1.999.980.431;CPU speed:2.195 Number of cores:4 Memory Size:28 Temp Disk Size:199.998043060303;Standard;
Standard_D13;8;56;8;400;16;8000;0;0;2.195;8;56;3.999.980.431;CPU speed:2.195 Number of cores:8 Memory Size:56 Temp Disk Size:399.998043060303;Standard;
Standard_D14;16;112;8;800;32;16000;0;0;2.195;16;112;7.999.980.431;CPU speed:2.195 Number of cores:16 Memory Size:112 Temp Disk Size:799.998043060303;Standard;
Standard_D1_v2;1;3.5;1;50;2;1000;0;0;2.397;1;3;4.999.804.306;CPU speed:2.397 Number of cores:1 Memory Size:3 Temp Disk Size:49.9980430603027;Standard;
Standard_D2_v2;2;7;2;100;4;2000;0;0;2.397;2;7;9.999.804.306;CPU speed:2.397 Number of cores:2 Memory Size:7 Temp Disk Size:99.9980430603027;Standard;
Standard_D3_v2;4;14;4;200;8;4000;0;0;2.397;4;14;1.999.980.431;CPU speed:2.397 Number of cores:4 Memory Size:14 Temp Disk Size:199.998043060303;Standard;
Standard_D4_v2;8;28;8;400;16;8000;0;0;2.397;8;28;3.999.980.431;CPU speed:2.397 Number of cores:8 Memory Size:28 Temp Disk Size:399.998043060303;Standard;
Standard_D5_v2;16;56;8;800;32;16000;0;0;2.397;16;56;7.999.980.431;CPU speed:2.397 Number of cores:16 Memory Size:56 Temp Disk Size:799.998043060303;Standard;
Standard_D11_v2;2;14;2;100;4;2000;0;0;2.397;2;14;9.999.804.306;CPU speed:2.397 Number of cores:2 Memory Size:14 Temp Disk Size:99.9980430603027;Standard;
Standard_D12_v2;4;28;4;200;8;4000;0;0;2.397;4;28;1.999.980.431;CPU speed:2.397 Number of cores:4 Memory Size:28 Temp Disk Size:199.998043060303;Standard;
Standard_D13_v2;8;56;8;400;16;8000;0;0;2.397;8;56;3.999.980.431;CPU speed:2.397 Number of cores:8 Memory Size:56 Temp Disk Size:399.998043060303;Standard;
